Date : 2023-02-10 10:00:49
Directory : c:\xampp\htdocs\webproject
Total : 76 files,  12791 codes, 2430 comments, 2143 blanks, all 17364 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\webproject\printticket.php                            | PHP          |        158 |         22 |         37 |        217 |
| c:\xampp\htdocs\webproject\process_data.php                           | PHP          |         18 |          0 |          4 |         22 |
| c:\xampp\htdocs\webproject\register.php                               | PHP          |         72 |         10 |          7 |         89 |
| c:\xampp\htdocs\webproject\script\app.js                              | JavaScript   |        256 |         16 |         27 |        299 |
| c:\xampp\htdocs\webproject\style\addtocart.css                        | CSS          |         44 |          0 |          6 |         50 |
| c:\xampp\htdocs\webproject\style\allflights.css                       | CSS          |        179 |          0 |         32 |        211 |
| c:\xampp\htdocs\webproject\style\detail.css                           | CSS          |        193 |          0 |         39 |        232 |
| c:\xampp\htdocs\webproject\style\fdetstyle.less                       | Less         |         86 |          0 |         13 |         99 |
| c:\xampp\htdocs\webproject\style\header_foot.css                      | CSS          |        198 |          1 |         30 |        229 |
| c:\xampp\htdocs\webproject\style\style.css                            | CSS          |        516 |          4 |         71 |        591 |
| c:\xampp\htdocs\webproject\style\styleflight.css                      | CSS          |        342 |          5 |         61 |        408 |
| c:\xampp\htdocs\webproject\style\user.css                             | CSS          |        136 |          0 |         17 |        153 |
| c:\xampp\htdocs\webproject\user.php                                   | PHP          |        264 |          6 |          7 |        277 |
| Total                                                                 |              |     12,791 |      2,430 |      2,143 |     17,364 |
+-----------------------------------------------------------------------+--------------+------------+------------+------------+------------+
